Typical Measured Spectrum of Semrock FF01-590/36 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)

290.0	1.9562e-07
290.2	1.9122e-07
290.4	1.8692e-07
290.6	1.8271e-07
290.8	1.786e-07
291.0	1.7458e-07
291.2	1.7065e-07
291.4	1.6681e-07
291.6	1.6306e-07
291.8	1.5939e-07
292.0	1.558e-07
292.2	1.523e-07
292.4	1.4887e-07
292.6	1.5407e-07
292.8	1.8216e-07
293.0	2.1537e-07
293.2	2.5464e-07
293.4	3.0107e-07
293.6	3.5596e-07
293.8	4.2087e-07
294.0	4.9761e-07
294.2	5.8834e-07
294.4	6.9561e-07
294.6	8.2244e-07
294.8	9.724e-07
295.0	1.1497e-06
295.2	1.1826e-06
295.4	1.2164e-06
295.6	1.2513e-06
295.8	1.1976e-06
296.0	1.0977e-06
296.2	1.0061e-06
296.4	9.2216e-07
296.6	8.4524e-07
296.8	7.7473e-07
297.0	7.101e-07
297.2	6.5086e-07
297.4	5.9657e-07
297.6	5.468e-07
297.8	5.0119e-07
298.0	4.5938e-07
298.2	4.2106e-07
298.4	3.8593e-07
298.6	3.5374e-07
298.8	3.2423e-07
299.0	2.9718e-07
299.2	2.7239e-07
299.4	2.4967e-07
299.6	2.2884e-07
299.8	2.0975e-07
300.0	1.9225e-07
300.2	1.7622e-07
300.4	1.6757e-07
300.6	1.7556e-07
300.8	1.8394e-07
301.0	1.9271e-07
301.2	2.0191e-07
301.4	2.1154e-07
301.6	2.2163e-07
301.8	2.322e-07
302.0	2.4328e-07
302.2	2.5489e-07
302.4	2.6705e-07
302.6	2.7979e-07
302.8	2.9314e-07
303.0	3.0712e-07
303.2	3.2178e-07
303.4	3.3713e-07
303.6	3.5321e-07
303.8	3.7006e-07
304.0	3.8772e-07
304.2	4.0621e-07
304.4	4.2559e-07
304.6	4.459e-07
304.8	4.6717e-07
305.0	4.8946e-07
305.2	4.2024e-07
305.4	3.608e-07
305.6	3.0977e-07
305.8	2.6596e-07
306.0	2.2835e-07
306.2	1.9605e-07
306.4	1.6832e-07
306.6	1.4452e-07
306.8	1.2408e-07
307.0	1.0947e-07
307.2	1.0936e-07
307.4	1.0926e-07
307.6	1.0915e-07
307.8	1.0904e-07
308.0	1.0893e-07
308.2	1.0882e-07
308.4	1.0871e-07
308.6	1.0861e-07
308.8	1.085e-07
309.0	1.0839e-07
309.2	1.0828e-07
309.4	1.0817e-07
309.6	1.0807e-07
309.8	1.0796e-07
310.0	1.0785e-07
310.2	1.0775e-07
310.4	1.0764e-07
310.6	1.0753e-07
310.8	1.0742e-07
311.0	1.0732e-07
311.2	1.0721e-07
311.4	1.071e-07
311.6	1.07e-07
311.8	1.1725e-07
312.0	1.3103e-07
312.2	1.4644e-07
312.4	1.6365e-07
312.6	1.8289e-07
312.8	2.0439e-07
313.0	2.2841e-07
313.2	2.5526e-07
313.4	2.8527e-07
313.6	3.188e-07
313.8	3.5627e-07
314.0	3.9815e-07
314.2	4.4496e-07
314.4	4.9726e-07
314.6	5.5571e-07
314.8	6.2103e-07
315.0	6.9404e-07
315.2	7.7562e-07
315.4	8.6679e-07
315.6	9.6868e-07
315.8	1.0825e-06
316.0	1.2098e-06
316.2	1.352e-06
316.4	1.3707e-06
316.6	1.253e-06
316.8	1.1454e-06
317.0	1.047e-06
317.2	9.5713e-07
317.4	8.7495e-07
317.6	7.9982e-07
317.8	7.3114e-07
318.0	6.6836e-07
318.2	6.1098e-07
318.4	5.5851e-07
318.6	5.1056e-07
318.8	4.6672e-07
319.0	4.2664e-07
319.2	3.9001e-07
319.4	3.5652e-07
319.6	3.2591e-07
319.8	2.9793e-07
320.0	2.7235e-07
320.2	2.4896e-07
320.4	2.2758e-07
320.6	2.0804e-07
320.8	1.9018e-07
321.0	1.7863e-07
321.2	1.945e-07
321.4	2.1179e-07
321.6	2.3061e-07
321.8	2.511e-07
322.0	2.7342e-07
322.2	2.9772e-07
322.4	3.2417e-07
322.6	3.5298e-07
322.8	3.8435e-07
323.0	4.1851e-07
323.2	4.557e-07
323.4	4.962e-07
323.6	5.4029e-07
323.8	5.8831e-07
324.0	6.4059e-07
324.2	6.9752e-07
324.4	7.5951e-07
324.6	8.2701e-07
324.8	9.005e-07
325.0	9.8053e-07
325.2	1.0677e-06
325.4	1.1626e-06
325.6	1.2659e-06
325.8	1.1716e-06
326.0	1.05e-06
326.2	9.4112e-07
326.4	8.4349e-07
326.6	7.5599e-07
326.8	6.7756e-07
327.0	6.0728e-07
327.2	5.4428e-07
327.4	4.8782e-07
327.6	4.3721e-07
327.8	3.9186e-07
328.0	3.5121e-07
328.2	3.1477e-07
328.4	2.8212e-07
328.6	2.5285e-07
328.8	2.2662e-07
329.0	2.0311e-07
329.2	1.8204e-07
329.4	1.6316e-07
329.6	1.4623e-07
329.8	1.3106e-07
330.0	1.1747e-07
330.2	1.0528e-07
330.4	1.0352e-07
330.6	1.1051e-07
330.8	1.1796e-07
331.0	1.2592e-07
331.2	1.3442e-07
331.4	1.4349e-07
331.6	1.5317e-07
331.8	1.6351e-07
332.0	1.7454e-07
332.2	1.8632e-07
332.4	1.9889e-07
332.6	2.1231e-07
332.8	2.2664e-07
333.0	2.4194e-07
333.2	2.5826e-07
333.4	2.7569e-07
333.6	2.9429e-07
333.8	3.1415e-07
334.0	3.3535e-07
334.2	3.5798e-07
334.4	3.8213e-07
334.6	4.0792e-07
334.8	4.3544e-07
335.0	4.527e-07
335.2	3.8772e-07
335.4	3.3206e-07
335.6	2.8439e-07
335.8	2.4357e-07
336.0	2.0861e-07
336.2	1.7866e-07
336.4	1.5301e-07
336.6	1.3105e-07
336.8	1.1224e-07
337.0	1.0e-07
337.2	1.0e-07
337.4	1.0e-07
337.6	1.0e-07
337.8	1.0e-07
338.0	1.0e-07
338.2	1.0e-07
338.4	1.0e-07
338.6	1.0e-07
338.8	1.0e-07
339.0	1.0e-07
339.2	1.0e-07
339.4	1.0e-07
339.6	1.0e-07
339.8	1.0e-07
340.0	1.0e-07
340.2	1.0e-07
340.4	1.0e-07
340.6	1.0e-07
340.8	1.0e-07
341.0	1.0e-07
341.2	1.0e-07
341.4	1.0e-07
341.6	1.0e-07
341.8	1.0e-07
342.0	1.0e-07
342.2	1.0e-07
342.4	1.0e-07
342.6	1.0e-07
342.8	1.0e-07
343.0	1.0e-07
343.2	1.0e-07
343.4	1.0e-07
343.6	1.0e-07
343.8	1.0e-07
344.0	1.0e-07
344.2	1.0e-07
344.4	1.0e-07
344.6	1.0e-07
344.8	1.0e-07
345.0	1.0e-07
345.2	1.0e-07
345.4	1.0e-07
345.6	1.0e-07
345.8	1.0e-07
346.0	1.0e-07
346.2	1.0e-07
346.4	1.0e-07
346.6	1.0e-07
346.8	1.0e-07
347.0	1.0e-07
347.2	1.0e-07
347.4	1.0e-07
347.6	1.0e-07
347.8	1.0e-07
348.0	1.0e-07
348.2	1.0e-07
348.4	1.0e-07
348.6	1.0e-07
348.8	1.0e-07
349.0	1.0e-07
349.2	1.0e-07
349.4	1.0e-07
349.6	1.0e-07
349.8	1.0e-07
350.0	1.0e-07
350.2	1.0e-07
350.4	1.0e-07
350.6	1.0e-07
350.8	1.0e-07
351.0	1.0e-07
351.2	1.0e-07
351.4	1.0e-07
351.6	1.0e-07
351.8	1.0e-07
352.0	1.0e-07
352.2	1.0e-07
352.4	1.0e-07
352.6	1.0e-07
352.8	1.0e-07
353.0	1.0e-07
353.2	1.0e-07
353.4	1.0e-07
353.6	1.0e-07
353.8	1.0e-07
354.0	1.0e-07
354.2	1.0e-07
354.4	1.0e-07
354.6	1.0e-07
354.8	1.0e-07
355.0	1.0e-07
355.2	1.0e-07
355.4	1.0e-07
355.6	1.0e-07
355.8	1.0e-07
356.0	1.0e-07
356.2	1.0e-07
356.4	1.0e-07
356.6	1.0e-07
356.8	1.0e-07
357.0	1.0e-07
357.2	1.0e-07
357.4	1.0e-07
357.6	1.0e-07
357.8	1.0e-07
358.0	1.0e-07
358.2	1.0e-07
358.4	1.0e-07
358.6	1.0e-07
358.8	1.0e-07
359.0	1.0e-07
359.2	1.0e-07
359.4	1.0e-07
359.6	1.0e-07
359.8	1.0e-07
360.0	1.0e-07
360.2	1.0e-07
360.4	1.0225e-07
360.6	1.0504e-07
360.8	1.0791e-07
361.0	1.1085e-07
361.2	1.1388e-07
361.4	1.1699e-07
361.6	1.2019e-07
361.8	1.2347e-07
362.0	1.2684e-07
362.2	1.303e-07
362.4	1.3386e-07
362.6	1.3752e-07
362.8	1.4127e-07
363.0	1.4513e-07
363.2	1.4909e-07
363.4	1.5316e-07
363.6	1.5735e-07
363.8	1.6164e-07
364.0	1.6606e-07
364.2	1.7059e-07
364.4	1.7525e-07
364.6	1.8003e-07
364.8	1.8495e-07
365.0	1.9363e-07
365.2	2.1259e-07
365.4	2.3341e-07
365.6	2.5626e-07
365.8	2.8135e-07
366.0	3.089e-07
366.2	3.3914e-07
366.4	3.7234e-07
366.6	4.088e-07
366.8	4.4882e-07
367.0	4.639e-07
367.2	4.4038e-07
367.4	4.1806e-07
367.6	3.9686e-07
367.8	3.7674e-07
368.0	3.5764e-07
368.2	3.3951e-07
368.4	3.2229e-07
368.6	3.0595e-07
368.8	2.9044e-07
369.0	2.7572e-07
369.2	2.6174e-07
369.4	2.4847e-07
369.6	2.3587e-07
369.8	2.2391e-07
370.0	2.1256e-07
370.2	2.0178e-07
370.4	1.9155e-07
370.6	1.8184e-07
370.8	1.7543e-07
371.0	1.6999e-07
371.2	1.6472e-07
371.4	1.5961e-07
371.6	1.5466e-07
371.8	1.4987e-07
372.0	1.4522e-07
372.2	1.4072e-07
372.4	1.3635e-07
372.6	1.3213e-07
372.8	1.2803e-07
373.0	1.2406e-07
373.2	1.2021e-07
373.4	1.1649e-07
373.6	1.1287e-07
373.8	1.0937e-07
374.0	1.0598e-07
374.2	1.027e-07
374.4	1.0193e-07
374.6	1.1531e-07
374.8	1.3044e-07
375.0	1.4755e-07
375.2	1.6692e-07
375.4	1.8882e-07
375.6	2.136e-07
375.8	2.4163e-07
376.0	2.7334e-07
376.2	3.0921e-07
376.4	3.4979e-07
376.6	3.9569e-07
376.8	4.4761e-07
377.0	5.0635e-07
377.2	5.728e-07
377.4	6.4797e-07
377.6	7.33e-07
377.8	8.2919e-07
378.0	9.38e-07
378.2	9.2878e-07
378.4	8.2101e-07
378.6	7.2574e-07
378.8	6.4153e-07
379.0	5.6709e-07
379.2	5.0129e-07
379.4	4.4312e-07
379.6	3.9171e-07
379.8	3.4625e-07
380.0	3.0608e-07
380.2	2.7056e-07
380.4	2.3917e-07
380.6	2.1142e-07
380.8	1.8688e-07
381.0	1.652e-07
381.2	1.4603e-07
381.4	1.2909e-07
381.6	1.1411e-07
381.8	1.0087e-07
382.0	1.0436e-07
382.2	1.0927e-07
382.4	1.1441e-07
382.6	1.1978e-07
382.8	1.2542e-07
383.0	1.3131e-07
383.2	1.3748e-07
383.4	1.4395e-07
383.6	1.5071e-07
383.8	1.578e-07
384.0	1.6521e-07
384.2	1.7298e-07
384.4	1.8111e-07
384.6	1.8963e-07
384.8	1.9854e-07
385.0	2.0787e-07
385.2	2.1764e-07
385.4	2.2788e-07
385.6	2.352e-07
385.8	2.3565e-07
386.0	2.361e-07
386.2	2.3656e-07
386.4	2.3701e-07
386.6	2.3747e-07
386.8	2.3792e-07
387.0	2.3838e-07
387.2	2.3884e-07
387.4	2.393e-07
387.6	2.3976e-07
387.8	2.4022e-07
388.0	2.4068e-07
388.2	2.4114e-07
388.4	2.416e-07
388.6	2.4207e-07
388.8	2.4253e-07
389.0	2.43e-07
389.2	2.4347e-07
389.4	2.3233e-07
389.6	2.1774e-07
389.8	2.0407e-07
390.0	1.9126e-07
390.2	1.7925e-07
390.4	1.68e-07
390.6	1.5745e-07
390.8	1.4756e-07
391.0	1.383e-07
391.2	1.2961e-07
391.4	1.2147e-07
391.6	1.1385e-07
391.8	1.067e-07
392.0	1.0e-07
392.2	1.0e-07
392.4	1.0e-07
392.6	1.0e-07
392.8	1.0e-07
393.0	1.0e-07
393.2	1.0e-07
393.4	1.0e-07
393.6	1.0e-07
393.8	1.0e-07
394.0	1.0e-07
394.2	1.0e-07
394.4	1.0e-07
394.6	1.0e-07
394.8	1.0e-07
395.0	1.0e-07
395.2	1.0e-07
395.4	1.0e-07
395.6	1.0e-07
395.8	1.0e-07
396.0	1.0e-07
396.2	1.0e-07
396.4	1.0e-07
396.6	1.0e-07
396.8	1.0e-07
397.0	1.0e-07
397.2	1.0e-07
397.4	1.0e-07
397.6	1.0e-07
397.8	1.0e-07
398.0	1.0e-07
398.2	1.0e-07
398.4	1.0e-07
398.6	1.0e-07
398.8	1.0e-07
399.0	1.0e-07
399.2	1.0e-07
399.4	1.0e-07
399.6	1.0e-07
399.8	1.0e-07
400.0	1.0e-07
400.2	1.0e-07
400.4	1.0e-07
400.6	1.0e-07
400.8	1.0e-07
401.0	1.0e-07
401.2	1.0e-07
401.4	1.0e-07
401.6	1.0e-07
401.8	1.0e-07
402.0	1.0e-07
402.2	1.0e-07
402.4	1.0e-07
402.6	1.0e-07
402.8	1.0e-07
403.0	1.0e-07
403.2	1.0e-07
403.4	1.0e-07
403.6	1.0e-07
403.8	1.0e-07
404.0	1.0e-07
404.2	1.0e-07
404.4	1.0e-07
404.6	1.0e-07
404.8	1.0e-07
405.0	1.0e-07
405.2	1.0e-07
405.4	1.0e-07
405.6	1.0e-07
405.8	1.0e-07
406.0	1.0e-07
406.2	1.0e-07
406.4	1.0e-07
406.6	1.0e-07
406.8	1.0e-07
407.0	1.0e-07
407.2	1.0e-07
407.4	1.0e-07
407.6	1.0e-07
407.8	1.0e-07
408.0	1.0e-07
408.2	1.0e-07
408.4	1.0e-07
408.6	1.0e-07
408.8	1.0e-07
409.0	1.0e-07
409.2	1.0e-07
409.4	1.0e-07
409.6	1.0e-07
409.8	1.0e-07
410.0	1.0e-07
410.2	1.0e-07
410.4	1.0e-07
410.6	1.0e-07
410.8	1.0e-07
411.0	1.0e-07
411.2	1.0e-07
411.4	1.0e-07
411.6	1.0e-07
411.8	1.0e-07
412.0	1.0e-07
412.2	1.0e-07
412.4	1.0e-07
412.6	1.0e-07
412.8	1.0e-07
413.0	1.0e-07
413.2	1.0e-07
413.4	1.0e-07
413.6	1.0e-07
413.8	1.0e-07
414.0	1.0e-07
414.2	1.0e-07
414.4	1.0e-07
414.6	1.0e-07
414.8	1.0e-07
415.0	1.0e-07
415.2	1.0e-07
415.4	1.0e-07
415.6	1.0e-07
415.8	1.0e-07
416.0	1.0e-07
416.2	1.0e-07
416.4	1.0e-07
416.6	1.0e-07
416.8	1.0e-07
417.0	1.0e-07
417.2	1.0e-07
417.4	1.0e-07
417.6	1.0e-07
